pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
67.75,-56.75,90.0,top,D1,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
52.7,-114.6,90.0,top,D10,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
51.96,-118.58,90.0,top,D11,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
52.75,-122.6,90.0,top,D12,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
52.45,-132.0,90.0,top,D13,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
51.75,-136.0,90.0,top,D14,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
52.45,-140.0,90.0,top,D15,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
74.3,-141.8,-90.0,top,D16,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
66.92,-60.75,90.0,top,D2,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
67.7,-64.75,90.0,top,D3,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
59.4,-76.0,90.0,top,D4,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
58.67,-80.0,90.0,top,D5,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
59.55,-84.0,90.0,top,D6,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
50.0,-95.25,90.0,top,D7,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
49.17,-99.25,90.0,top,D8,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
50.0,-103.25,90.0,top,D9,,,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,SK6805,smt
78.92,-60.75,0.0,top,SW1,,,SW_Cherry_MX_PCB_1.00u,SW_Push_45deg,tht
70.67,-80.0,0.0,top,SW2,,,SW_Cherry_MX_PCB_1.00u,SW_Push_45deg,tht
61.17,-99.25,0.0,top,SW3,,,SW_Cherry_MX_PCB_1.00u,SW_Push_45deg,tht
63.96,-118.58,0.0,top,SW4,,,SW_Cherry_MX_PCB_1.00u,SW_Push_45deg,tht
56.5,-133.5,0.0,top,SW5,,,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,RotaryEncoder_Switch_MP,tht
83.5,-118.5,0.0,top,SW6,,,SW_Cherry_MX_PCB_1.00u,SW_Push_45deg,tht
80.67,-99.25,0.0,top,SW7,,,SW_Cherry_MX_PCB_1.00u,SW_Push_45deg,tht
89.96,-79.83,0.0,top,SW8,,,SW_Cherry_MX_PCB_1.00u,SW_Push_45deg,tht
97.548,-59.61,0.0,top,U1,,,XIAO-RP2040-SMD,XIAO-RP2040-DIP,tht
